# Header data
_bpDBSCAN_Topas3.7
# Target model
Fiber
# Bounding volume
1	0.08	0.08	0.08
# DNA Density
1.20586e+07
# O2 concentration
 
# Incident particle
2212
# Mean Energy (MeV)
1
# Distribution function
Gaussian	1.000000	0.000000
# Event count
592
# File event grouping
Exposure
#
# Line-by-line hit data listing
1	-0.0117952	0.00572683	0.0404371	1 1 0	0	     	 	2 1 1/4 5 1/	 
0	0.00972215	-0.0022702	-0.0134189	0 1 0	0	     	 	1 1 1/	 
0	0.00976551	-0.00210847	-0.0135376	0 1 0	0	     	 	1 1 1/	 
0	0.00963725	-0.00240585	-0.0133788	0 1 0	0	     	 	1 1 1/	 
0	0.0129313	-0.00157684	-0.0145931	0 1 0	0	     	 	4 1 1/	 
0	-0.00791543	-0.00352928	0.0726578	0 1 0	0	     	 	4 1 1/	 
0	-0.00787841	-0.00351293	0.0726991	0 1 0	0	     	 	4 1 1/	 
0	-0.00747195	-0.00320642	0.0735904	0 1 0	0	     	 	1 1 1/	 
0	-0.00674502	-0.00599588	0.0443161	0 1 0	0	     	 	4 1 1/	 
0	-0.00784661	-0.00777365	0.0425598	0 1 0	0	     	 	1 1 1/	 
0	-0.00788497	-0.00866531	0.0423299	0 1 0	0	     	 	4 1 1/	 
0	-0.0078786	-0.00866654	0.0423085	0 1 0	0	     	 	4 1 1/	 
0	-0.00705867	-0.00913259	0.0414866	0 1 0	0	     	 	1 1 1/	 
0	-0.0071378	-0.0091047	0.0414925	0 1 0	0	     	 	1 1 1/	 
0	-0.00745585	-0.00894058	0.0419164	0 1 0	0	     	 	1 1 1/	 
0	-0.00712836	-0.00757033	0.0420311	1 0 0	0	     	 	3 1 1/	 
0	-0.00717562	-0.00760273	0.0420692	1 0 0	0	     	 	3 1 1/	 
0	-0.00767025	-0.00794184	0.0424679	0 1 0	0	     	 	1 1 1/	 
0	-0.0073303	-0.00763854	0.0428223	0 1 0	0	     	 	4 1 1/	 
0	-0.00652153	-0.00755067	0.0422096	1 0 0	0	     	 	2 1 1/	 
0	-0.00656346	-0.0076117	0.0422153	1 0 0	0	     	 	2 1 1/	 
0	-0.00659136	-0.00764165	0.0422395	1 0 0	0	     	 	2 1 1/	 
0	-0.00685478	-0.0079245	0.0424675	0 1 0	0	     	 	4 1 1/	 
0	-0.00742782	-0.00815739	0.0422537	0 1 0	0	     	 	1 1 1/	 
0	-0.00744491	-0.00817364	0.0422378	0 1 0	0	     	 	1 1 1/	 
0	-0.00674446	-0.00601652	0.044313	0 1 0	0	     	 	4 1 1/	 
0	-0.0062321	-0.0102813	0.0411376	0 1 0	0	     	 	4 1 1/	 
0	-0.00641422	-0.0110006	0.0411099	0 1 0	0	     	 	1 1 1/	 
0	-0.00683749	-0.0110194	0.0411442	0 1 0	0	     	 	1 1 1/	 
0	-0.0092248	-0.00350647	0.0374888	1 0 0	0	     	 	2 1 1/	 
0	-0.00944873	-0.00345021	0.0374073	1 0 0	0	     	 	2 1 1/	 
0	-0.0124971	-0.00405648	0.0382068	0 1 0	0	     	 	4 1 1/	 
0	-0.0117311	-0.00433971	0.0379322	1 0 0	0	     	 	2 1 1/	 
0	-0.0099481	-0.00353484	0.0369939	0 1 0	0	     	 	4 1 1/	 
0	-0.00945428	-0.00341939	0.0373664	1 0 0	0	     	 	2 1 1/	 
0	-0.00665739	-0.00736378	0.0286625	0 1 0	0	     	 	4 1 1/	 
0	-0.00667452	-0.0074031	0.0286381	0 1 0	0	     	 	4 1 1/	 
